--DOCSTART--	--DOCSTART--
--SENTENCE--	--SENTENCE--
Em	O
que	O
escola	O
estuda	O
o	O
Harry	O
Potter	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
divisa	O
da	O
escola	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
quantas	O
casas	O
está	O
dividida	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
é	O
o	O
director	O
da	O
escola	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
são	O
os	O
peixes-espada	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
é	O
o	O
recorde	O
da	O
IGFA	O
para	O
este	O
tipo	O
de	O
peixe	O
?	O
--SENTENCE--	--SENTENCE--
Quando	O
nasceu	O
Amintore	O
Fanfani	O
?	O
--SENTENCE--	--SENTENCE--
E	O
aonde	O
nasceu	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
Le	O
Corbusier	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
era	O
o	O
seu	O
verdadeiro	O
nome	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
era	O
Flaubert	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
ano	O
publicou	O
«	O
Bouvard	O
e	O
Pécuchet	O
»	O
?	O
--SENTENCE--	--SENTENCE--
Lista	O
todas	O
as	O
suas	O
obras.	O
--SENTENCE--	--SENTENCE--
O	O
que	O
foi	O
a	O
Revolução	O
de	O
Veludo	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
foi	O
a	O
Revolução	O
dos	O
Cravos	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
António	O
de	O
Oliveira	O
Salazar	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
compôs	O
a	O
canção	O
``	O
Grândola	O
,	O
Vila	O
Morena	O
''	O
?	O
--SENTENCE--	--SENTENCE--
Onde	O
foi	O
fabricado	O
Bender	O
Bending	O
Rodriguez	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
é	O
Philip	O
J	O
.	O
Fry	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
Hermann	O
Emil	O
Fischer	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
prémio	O
é	O
que	O
ele	O
recebeu	O
em	B-TEMPO_TEMPO_CALEND_DATA
1902	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Quem	O
recebeu	O
o	O
Prémio	O
Nobel	O
da	O
Literatura	O
nesse	B-TEMPO_TEMPO_CALEND_DATA
ano	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Quem	O
era	O
Bertha	O
von	O
Suttner	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
Marco	O
Pantani	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
era	O
a	O
sua	O
alcunha	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
Juan	O
Manuel	O
Fangio	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
a	O
obsidiana	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
uma	O
``	O
macana	O
''	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
um	O
buraco	O
negro	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
a	O
realidade	O
virtual	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
o	O
pasodoble	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
a	O
tarantela	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
á	O
a	O
Arca	O
de	O
Noé	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
um	O
tacógrafo	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
um	O
odómetro	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
um	O
kinnor	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
o	O
INTASAT	O
--SENTENCE--	--SENTENCE--
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
que	O
era	O
o	O
Rainbow	O
Warrior	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
é	O
que	O
o	O
afundou	O
em	B-TEMPO_TEMPO_CALEND_DATA
1985	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Para	O
que	O
serve	O
um	O
draga-minas	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
a	O
INTELSAT	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
uma	O
Organização	O
Não-Governamental	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
era	O
a	O
Gestapo	O
?	O
--SENTENCE--	--SENTENCE--
Quantos	O
membros	O
tinha	O
durante	O
a	O
Segunda	O
Grande	O
Guerra	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
é	O
a	O
Organização	O
Internacional	O
da	O
Normalização	O
?	O
--SENTENCE--	--SENTENCE--
O	O
que	O
era	O
a	O
Mão	O
Negra	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
a	O
função	O
da	O
Organização	O
Meteorológica	O
Mundial	O
?	O
--SENTENCE--	--SENTENCE--
Qual	O
é	O
a	O
responsabilidade	O
da	O
ONUDI	O
?	O
--SENTENCE--	--SENTENCE--
A	O
que	O
se	O
dedica	O
a	O
Industrial	O
Light	O
and	O
Magic	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
país	O
fica	O
Çatal	O
Hüyük	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
mar	O
desagua	O
o	O
rio	O
Orentes	B-LOCAL_FISICO_AGUACURSO
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
país	O
fica	O
a	O
Muralha	B-LOCAL_HUMANO_CONSTRUCAO
de	I-LOCAL_HUMANO_CONSTRUCAO
Adriano	I-LOCAL_HUMANO_CONSTRUCAO
?	O
--SENTENCE--	--SENTENCE--
Onde	O
é	O
que	O
trabalha	O
o	O
Homer	O
Simpson	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
país	O
fica	O
Minas	O
Gerais	O
?	O
--SENTENCE--	--SENTENCE--
De	O
onde	O
é	O
típica	O
a	O
ensaimada	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
cidade	O
nasceu	O
Natalie	O
Hershlag	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
é	O
o	O
prefeito	O
dessa	O
cidade	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
desenhou	O
o	O
processador	O
Zilog	O
Z80	O
?	O
--SENTENCE--	--SENTENCE--
De	O
quantos	O
bits	O
era	O
este	O
processador	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamam	O
os	O
pais	O
de	O
Luke	O
Skywalker	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
paises	O
entraram	O
na	O
União	O
Europeia	O
a	B-TEMPO_TEMPO_CALEND_DATA
1	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
Janeiro	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
1995	I-TEMPO_TEMPO_CALEND_DATA
?	O
--SENTENCE--	--SENTENCE--
Quem	O
é	O
a	O
rainha	O
da	O
Austrália	B-LOCAL_HUMANO_PAIS
?	O
--SENTENCE--	--SENTENCE--
Quem	O
era	O
o	O
papa	O
quando	O
se	O
realizou	O
o	O
Concílio	O
de	O
Clermont	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
actor	O
faz	O
de	O
Chewbacca	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chama	O
o	O
deus	O
grego	O
da	O
Medicina	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
foi	O
o	O
realizador	O
de	O
Nosferatu	B-OBRA_REPRODUZIDA_FILME
?	O
--SENTENCE--	--SENTENCE--
E	O
quem	O
era	O
o	O
actor	O
principal	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
é	O
o	O
secretário-geral	O
da	O
UGT	O
?	O
--SENTENCE--	--SENTENCE--
Quando	O
é	O
que	O
foi	O
o	O
atentado	O
terrorista	O
contra	O
a	O
AMIA	O
?	O
--SENTENCE--	--SENTENCE--
Quantas	O
pessoas	O
morreram	O
nesse	O
ataque	O
?	O
--SENTENCE--	--SENTENCE--
Quando	O
é	O
que	O
morreu	O
Federica	O
Montseny	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
dia	O
se	O
realizou	O
o	O
assalto	O
ao	O
rancho	O
do	O
davidianos	O
em	O
Waco	B-LOCAL_HUMANO_DIVISAO
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
ano	O
é	O
que	O
o	O
Real	O
Zaragoza	O
ganhou	O
a	O
Taça	O
das	O
Taças	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
ano	O
foi	O
inaugurado	O
o	O
AVE	O
Madrid-Sevilha	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
data	O
é	O
que	O
o	O
Corte	O
Inglês	O
comprou	O
as	O
Galerias	O
Preciados	O
?	O
--SENTENCE--	--SENTENCE--
Em	O
que	O
dia	O
foi	O
assassinado	O
Rajiv	O
Gandhi	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
quatro	O
deuses	O
podem	O
ser	O
representados	O
num	O
vaso	O
canopo	O
?	O
--SENTENCE--	--SENTENCE--
Quem	O
produz	O
o	O
Windows	O
95	O
?	O
--SENTENCE--	--SENTENCE--
Steve	O
Jobs	O
é	O
o	O
presidente	O
de	O
que	O
empresa	O
?	O
--SENTENCE--	--SENTENCE--
Como	O
se	O
chamava	O
o	O
serviço	O
secreto	O
da	O
RDA	B-LOCAL_HUMANO_PAIS
?	O
--SENTENCE--	--SENTENCE--
David	O
Stern	O
é	O
o	O
comissário	O
de	O
que	O
organização	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
rádio	O
emite	O
o	O
programa	O
de	O
Howard	O
Stern	O
?	O
--SENTENCE--	--SENTENCE--
Que	O
