--DOCSTART--	--DOCSTART--
--SENTENCE--	--SENTENCE--
--SENTENCE--	--SENTENCE--
Terá	O
ainda	O
que	O
se	O
esperar	O
para	O
ver	O
outros	O
resultados	O
do	O
--SENTENCE--	--SENTENCE--
Plano	O
Tecnológico	O
--SENTENCE--	--SENTENCE--
,	O
mas	O
este	O
perdeu	O
dinâmica	O
--SENTENCE--	--SENTENCE--
no	B-TEMPO
último	I-TEMPO
ano	I-TEMPO
--SENTENCE--	--SENTENCE--
.	O
--SENTENCE--	--SENTENCE--
6.	O
--SENTENCE--	--SENTENCE--
Quanto	O
às	O
«	O
--SENTENCE--	--SENTENCE--
Novas	O
Oportunidades	O
--SENTENCE--	--SENTENCE--
»	O
foram	O
--SENTENCE--	--SENTENCE--
no	B-TEMPO
seu	I-TEMPO
início	I-TEMPO
--SENTENCE--	--SENTENCE--
um	O
sucesso	O
naquilo	O
que	O
era	O
mais	O
difícil	O
:	O
revalorizar	O
o	O
papel	O
do	O
ensino	O
,	O
da	O
educação	O
,	O
da	O
aprendizagem	O
,	O
do	O
saber	O
,	O
em	O
sectores	O
da	O
população	O
que	O
na	O
sua	O
vida	O
tinham	O
voltado	O
as	O
costas	O
a	O
esses	O
valores	O
,	O
ou	O
por	O
necessidade	O
,	O
ou	O
por	O
facilidade.	O
--SENTENCE--	--SENTENCE--
Porém	O
o	O
programa	O
entra	O
agora	O
numa	O
fase	O
crucial	O
:	O
após	O
os	O
momentos	O
de	O
arranque	O
incial	O
,	O
é	O
suposto	O
que	O
se	O
começe	O
agora	O
a	O
aprender	O
e	O
a	O
ser	O
avaliado.	O
--SENTENCE--	--SENTENCE--
Esta	O
é	O
a	O
parte	O
difícil	O
,	O
mas	O
a	O
que	O
justifica	O
o	O
projecto.	O
--SENTENCE--	--SENTENCE--
E	O
aqui	O
as	O
intenções	O
iniciais	O
começam	O
a	O
esmorecer	O
,	O
os	O
atrasos	O
a	O
somarem-se	O
,	O
a	O
perplexidade	O
dos	O
formadores	O
a	O
aumentar	O
e	O
o	O
anúncio	O
regular	O
pelo	O
governo	O
da	O
outorga	O
de	O
mais	O
uns	O
milhares	O
