--DOCSTART--	--DOCSTART--
--SENTENCE--	--SENTENCE--
Fim	B-TEMPO
de	I-TEMPO
ano	I-TEMPO
com	O
uísque	O
barato	O
no	O
Rio	B-LOCAL
--SENTENCE--	--SENTENCE--
--SENTENCE--	--SENTENCE--
Caro	O
leitor	O
:	O
--SENTENCE--	--SENTENCE--
--SENTENCE--	--SENTENCE--
Por	O
favor	O
,	O
não	O
entenda	O
,	O
por	O
uísque	O
barato	O
,	O
uísque	O
vagabundo.	O
--SENTENCE--	--SENTENCE--
É	O
uísque	O
bom	O
,	O
sem	O
batismo	O
,	O
só	O
que	O
de	O
preço	O
baixo	O
mesmo.	O
--SENTENCE--	--SENTENCE--
Venho	O
notando	O
isso	O
nos	B-TEMPO
últimos	I-TEMPO
meses	I-TEMPO
.	O
--SENTENCE--	--SENTENCE--
Deve	O
ser	O
por	O
conta	O
da	O
queda	O
do	O
dólar	O
:	O
os	O
donos	O
de	O
bares	O
,	O
finalmente	O
,	O
estão	O
entendendo	O
que	O
uísque	O
escocês	O
não	O
tem	O
,	O
necessariamente	O
,	O
que	O
sair	O
caro	O
no	O
balcão.	O
--SENTENCE--	--SENTENCE--
Aquele	O
``	O
ouro	O
''	O
líquido	O
,	O
que	O
o	O
balconista	O
costumava	O
servir	O
a	O
conta-gotas	O
e	O
com	O
um	O
chorinho	O
miserável	O
e	O
sem	O
vela	O
,	O
está	O
deixando	O
de	O
existir.	O
--SENTENCE--	--SENTENCE--
Com	O
a	O
garrafa	O
de	O
um	O
bom	O
scotch	O
sendo	O
vendida	O
a	O
menos	B-VALOR
de	I-VALOR
R	I-VALOR
$	I-VALOR
60	I-VALOR
em	O
qualquer	O
supermercado	O
,	O
já	O
é	O
possível	O
encontrar	O
,	O
com	O
facilidade	O
,	O
bares	O
e	O
botequins	O
que	O
assumiram	O
o	O
serviço	O
regado	O
do	O
puro	O
scotch.	O
--SENTENCE--	--SENTENCE--
O	O
Belmonte	B-LOCAL
da	O
Rua	B-LOCAL
do	I-LOCAL
Lavradio	I-LOCAL
,	O
por	O
exemplo	O
,	O
é	O
um	O
desses.	O
--SENTENCE--	--SENTENCE--
Por	O
R	B-VALOR
$	I-VALOR
8,50	I-VALOR
,	O
toma-se	O
uma	O
dose	O
boca	O
larga	O
de	O
Johnny	B-COISA
Walker	I-COISA
Red	I-COISA
Label	I-COISA
.	O
--SENTENCE--	--SENTENCE--
E	O
a	O
régua	O
é	O
só	O
de	O
vinte	O
doses	O
,	O
contra	O
as	O
absurdas	O
24	B-VALOR
doses	O
de	O
alguns	O
bares	O
por	O
aí.	O
--SENTENCE--	--SENTENCE--
Nada	O
mal	O
,	O
não	O
?	O
--SENTENCE--	--SENTENCE--
Para	O
você	O
,	O
leitor	O
que	O
não	O
toma	O
uísque	O
,	O
ter	O
uma	O
idéia	O
do	O
que	O
isso	O
significa	O
,	O
basta	O
dizer	O
que	O
a	O
menos	B-VALOR
de	I-VALOR
150	I-VALOR
metros	I-VALOR
dali	O
,	O
no	O
Carlitos	B-LOCAL
da	O
Rua	B-LOCAL
Mem	I-LOCAL
de	I-LOCAL
Sá	I-LOCAL
,	O
uma	O
dose	O
do	O
mesmo	O
Red	B-COISA
Label	I-COISA
,	O
servido	O
em	O
dedal	O
de	O
moça	O
,	O
custa	O
R	B-VALOR
$	I-VALOR
12,50	I-VALOR
.	O
--SENTENCE--	--SENTENCE--
Uma	O
diferença	O
exorbitante	O
de	O
preço	O
e	O
quantidade.	O
--SENTENCE--	--SENTENCE--
E	O
por	O
que	O
isso	O
?	O
,	O
você	O
há	O
de	O
perguntar.	O
--SENTENCE--	--SENTENCE--
Puro	O
preconceito	O
,	O
amigo.	O
--SENTENCE--	--SENTENCE--
Os	O
donos	O
do	O
Carlitos	B-ORGANIZACAO
ainda	O
acham	O
que	O
uísque	O
é	O
coisa	O
de	O
rico	O
,	O
coitados.	O
--SENTENCE--	--SENTENCE--
Mas	O
,	O
para	O
nossa	O
sorte	O
,	O
essa	O
ignorância	O
aos	O
poucos	O
vai	O
sendo	O
riscada	O
do	O
mapa.	O
--SENTENCE--	--SENTENCE--
Até	O
quando	O
o	O
dólar	O
deixar	O
,	O
claro	O
...	O
--SENTENCE--	--SENTENCE--
--SENTENCE--	--SENTENCE--
Outros	O
exemplos	O
de	O
bom	O
uísque	O
barato	O
e	O
regado	O
na	O
cidade	O
do	O
Rio	B-LOCAL
:	O
--SENTENCE--	--SENTENCE--
--SENTENCE--	--SENTENCE--
-	O
Aboim	B-LOCAL
,	O
na	O
Rua	B-LOCAL
Souza	I-LOCAL
Lima	I-LOCAL
,	O
em	O
Copacabana	B-LOCAL
:	O
o	O
Pé-Sujo	O
mais	O
especializado	O
em	O
uísque	O
da	O
cidade	O
serve	O
mais	O
de	O
dez	O
marcas	O
diferentes	O
de	O
scotch.	O
--SENTENCE--	--SENTENCE--
As	O
mais	O
baratas	O
(	O
White	B-COISA
Horse	I-COISA
e	O
Grants	B-COISA
8	I-COISA
anos	I-COISA
)	O
saem	O
a	O
R	B-VALOR
$	I-VALOR
7,00	I-VALOR
,	O
sempre	O
na	O
tala	O
larga.	O
--SENTENCE--	--SENTENCE--
-	O
Azeitona	B-LOCAL
&	I-LOCAL
amp	I-LOCAL
;	I-LOCAL
Cia	I-LOCAL
,	O
na	O
Rua	B-LOCAL
Dias	I-LOCAL
Ferreira	I-LOCAL
,	O
no	O
Leblon	B-LOCAL
:	O
O	O
melhor	O
custo-benefício	O
do	O
scotch	O
na	O
Zona	B-LOCAL
Sul	I-LOCAL
do	O
Rio	B-LOCAL
.	O
--SENTENCE--	--SENTENCE--
Uma	O
dose	O
caprichadíssima	O
de	O
Red	B-COISA
Label	I-COISA
no	O
copo	O
longo	O
sai	O
por	O
meros	O
R	B-VALOR
$	I-VALOR
7	I-VALOR
.	O
--SENTENCE--	--SENTENCE--
E	O
ainda	O
vem	O
com	O
a	O
boa	O
conversa	O
do	O
Azeitona	B-PESSOA
,	O
o	O
dono.	O
--SENTENCE--	--SENTENCE--
-	O
Bar	B-LOCAL
do	I-LOCAL
Adão	I-LOCAL
da	O
Rua	B-LOCAL
Dona	I-LOCAL
Mariana	I-LOCAL
,	O
em	O
Botafogo	B-LOCAL
:	O
Não	O
é	O
muito	O
boteco	O
,	O
mas	O
ali	O
o	O
Ballantines	B-COISA
12	I-COISA
anos	I-COISA
sai	O
por	O
R	B-VALOR
$	I-VALOR
9	I-VALOR
a	O
dose.	O
--SENTENCE--	--SENTENCE--
Espetáculo	O
que	O
melhora	O
ainda	O
mais	O
às	B-TEMPO
terças-feiras	I-TEMPO
,	O
quando	O
a	O
casa	O
especializada	O
em	O
pastel	O
serve	O
tudo	O
dobrado.	O
--SENTENCE--	--SENTENCE--
E	O
o	O
mesmo	O
uísque	O
sai	O
,	O
então	O
,	O
pela	O
bagatela	O
de	O
R	B-VALOR
$	I-VALOR
4,50	I-VALOR
.	O
--SENTENCE--	--SENTENCE--
-	O
Bar	B-LOCAL
Barata	I-LOCAL
Ribeiro	I-LOCAL
,	O
na	O
esquina	O
das	O
Ruas	B-LOCAL
Barata	I-LOCAL
Ribeiro	I-LOCAL
e	O
Barão	B-LOCAL
de	I-LOCAL
Ipanema	I-LOCAL
,	O
em	O
Copacabana	B-LOCAL
:	O
Botequinho	O
escondido	O
no	O
meio	O
do	O
caos	O
copacabanense	O
,	O
mas	O
que	O
tem	O
um	O
coração	O
de	O
ouro	O
e	O
uma	O
blea	O
prateleira	O
de	O
uísques.	O
--SENTENCE--	--SENTENCE--
-	O
Bar	B-LOCAL
Vieira	I-LOCAL
Souto	I-LOCAL
,	O
na	O
Praça	B-LOCAL
da	I-LOCAL
Cruz	I-LOCAL
Vermelha	I-LOCAL
,	O
Centro	B-LOCAL
da	O
cidade	O
:	O
Um	O
restaurante	O
popular	O
dos	O
bons	O
,	O
que	O
serve	O
um	O
filé	O
com	O
fritas	O
espetacular	O
e	O
uísque	O
de	O
excelente	O
procedência	O
a	O
R	B-VALOR
$	I-VALOR
8	I-VALOR
,	O
no	O
capricho.	O
--SENTENCE--	--SENTENCE--
-	O
BotecoTaco	B-LOCAL
,	O
no	O
Humaitá	B-LOCAL
:	O
As	B-TEMPO
madrugadas	I-TEMPO
varam	O
e	O
o	O
uísque	O
não	O
pára	O
de	O
sair	O
no	O
templo	O
carioca	O
dos	O
notívagos.	O
--SENTENCE--	--SENTENCE--
Doses	O
cavalares	O
de	O
uísque	O
oito	O
anos	O
,	O
